I0,I1,I2,I3,I4,I5
43.050507,318.843231,320.565491,-0.566667,0.500000,9.833333
43.122746,323.054230,320.999023,-0.866667,0.400000,9.866667
43.184368,323.511108,321.436523,-0.866667,0.800000,9.733334
43.229000,326.774292,322.365387,-1.100000,0.700000,9.966666
43.262814,321.639709,322.239471,-0.700000,1.166667,10.366667
43.290310,327.622711,323.176086,-1.133333,1.266667,10.400000
43.319878,329.040955,324.196472,-1.233333,1.366667,10.433333
43.362656,328.061523,324.869141,-1.166667,1.233333,10.300000
43.421318,328.470032,325.496002,-1.200000,1.133333,10.200000
43.493774,322.952332,325.054169,-0.800000,1.133333,10.666667
43.584087,323.831146,324.842255,-0.800000,2.000000,11.066667
43.683338,321.877228,324.327393,-0.633333,2.100000,11.433333
43.795013,321.529846,323.841766,-0.533333,2.866667,11.533334
43.940502,316.601563,322.583679,0.033333,3.766667,11.966666
44.120045,312.496582,320.830688,0.500000,4.033333,12.433333
44.332516,309.227997,318.814362,0.900000,4.233333,12.366667
44.554768,308.109558,316.954315,1.100000,4.566667,12.433333
44.781216,311.322052,315.976624,0.833333,5.166667,12.500000
45.027866,313.675415,315.578522,0.566667,5.233333,12.366667
45.304317,311.225433,314.823792,0.966667,5.833333,12.366667
45.594536,310.912567,314.146027,1.000000,5.800000,12.133333
45.867973,317.049438,314.653473,0.333333,6.400000,12.000000
46.121193,317.210541,315.100494,0.400000,7.066667,11.733334
46.348167,322.871490,316.454193,-0.166667,8.766666,10.900000
46.563087,325.527100,318.034241,-0.466667,9.733334,10.133333
46.761345,329.285736,319.993073,-0.966667,10.700000,9.100000
46.926212,331.204285,321.944641,-1.233333,11.766666,7.766667
47.068329,335.242004,324.258881,-1.866667,12.066667,6.200000
47.197468,333.968018,325.948853,-1.666667,12.266666,4.333333
47.317696,336.795441,327.836578,-2.100000,11.633333,2.500000
47.432606,334.447083,328.987427,-1.733333,11.333333,1.533333
47.547043,335.864868,330.184723,-1.933333,10.600000,0.466667
47.670570,337.985168,331.542633,-2.233333,10.300000,0.233333
47.816963,340.205658,333.050781,-2.500000,9.300000,-0.500000
47.976425,338.715271,334.037476,-2.266667,8.666667,-0.800000
48.120308,342.255554,335.468201,-2.733333,8.600000,-0.800000
48.264397,344.687866,337.073151,-3.033333,8.300000,-0.833333
48.425095,346.304688,338.680328,-3.133333,7.200000,-0.933333
48.591393,347.970276,340.297699,-3.200000,6.000000,-1.066667
48.750553,352.292023,342.385437,-3.566667,5.033333,-0.966667
48.878819,355.967987,344.749146,-3.800000,4.000000,-0.200000
48.973637,356.796448,346.845520,-3.633333,2.700000,0.566667
49.060329,2.353906,286.924744,-3.866667,1.333333,1.933333
49.168808,0.666416,237.133392,-3.700000,1.300000,2.433333
49.294624,5.902500,196.913757,-4.033333,0.700000,3.033333
49.428295,4.365929,163.422791,-3.833333,0.500000,3.766667
49.572418,359.725555,197.569336,-3.333333,0.066667,5.200000
49.725254,358.566315,225.574799,-3.200000,-0.133333,6.000000
49.900402,354.829285,248.059113,-3.000000,0.266667,7.200000
50.102554,349.964142,265.786438,-2.666667,0.400000,8.333333
50.315125,346.909424,279.898987,-2.466667,0.533333,8.533334
50.528656,349.734863,292.048248,-2.700000,0.766667,8.633333
50.720173,349.997314,302.129700,-2.733333,0.866667,8.533334
50.867752,350.627930,310.566895,-2.733333,0.533333,7.933333
50.967548,357.293823,318.695557,-3.166667,0.166667,6.833333
51.028923,1.815598,263.577393,-3.600000,0.466667,4.866667
51.062508,3.837131,218.397980,-3.866667,0.800000,3.333333
51.072659,6.710760,181.576797,-4.433333,1.766667,2.100000
51.066479,6.093964,151.052933,-4.700000,2.900000,1.566667
51.052097,5.112733,125.667694,-4.800000,3.666667,0.800000
51.044495,7.151921,105.052765,-5.300000,4.433333,0.633333
51.073078,6.031748,87.829117,-5.300000,4.966667,0.500000
51.127140,0.843939,72.699234,-4.766667,5.700000,0.233333
51.185040,358.790009,122.462906,-4.766667,6.966667,0.366667
51.238285,359.174225,163.637390,-5.066667,8.066667,0.733333
51.274673,357.246552,197.314453,-4.966667,9.033334,0.900000
51.309826,355.096497,224.759674,-4.700000,9.433333,1.433333
51.316254,350.843750,246.691025,-4.166667,10.300000,1.900000
51.305946,349.778687,264.622192,-4.066667,10.800000,2.266667
51.260532,349.128845,279.321045,-3.966667,10.833333,2.966667
51.195976,348.862366,291.416626,-3.966667,11.166667,3.700000
51.129013,346.562744,301.008270,-3.600000,11.200000,4.200000
51.063274,345.556366,308.756470,-3.466667,11.466666,4.400000
51.023907,344.912476,315.045166,-3.366667,11.500000,5.566667
51.007694,342.782928,319.869781,-3.033333,11.566667,5.833333
51.032333,344.574799,324.167236,-3.266667,11.000000,6.866667
51.089588,345.579193,327.892181,-3.366667,10.433333,7.566667
51.182526,347.142487,331.241425,-3.500000,9.500000,8.433333
51.300961,348.594025,334.260803,-3.533333,8.066667,9.400000
51.427189,350.608246,337.105408,-3.633333,6.833333,10.033334
51.556271,352.807220,339.837738,-3.766667,5.900000,10.100000
51.680031,353.303925,342.181152,-3.733333,5.333333,10.000000
51.764614,357.376770,344.825073,-4.066667,4.533333,9.933333
51.794315,359.427582,347.365326,-4.133333,3.733333,9.533334
51.762310,0.229153,286.983521,-4.233333,3.766667,9.366667
51.671059,4.003714,237.760681,-4.733333,3.933333,9.000000
51.519794,5.185221,197.304733,-4.733333,3.400000,9.000000
51.326488,4.923706,163.839905,-4.766667,3.633333,8.766666
51.112347,8.075021,136.743973,-4.966667,2.966667,7.633333
50.875179,11.121532,114.890877,-5.300000,2.766667,6.966667
50.648109,11.022298,96.821777,-5.133333,2.333333,6.400000
50.455334,14.080230,82.427856,-5.600000,2.466667,5.800000
50.296051,12.377435,70.241745,-5.300000,2.300000,4.966667
50.174721,16.939888,60.969250,-6.000000,2.400000,4.133333
50.107586,14.362865,52.861855,-5.800000,2.866667,3.733333
50.096161,12.167582,45.783314,-5.566667,3.100000,2.966667
50.117538,11.121223,39.754314,-5.666667,3.800000,2.133333
50.168247,9.285937,34.455036,-5.466667,4.000000,1.800000
50.238827,9.286848,30.077854,-5.500000,4.100000,1.500000
50.329056,7.948308,26.229395,-5.466667,4.600000,1.333333
50.441853,8.309537,23.113375,-5.733333,5.266667,1.200000
50.559658,9.982043,20.830324,-6.033333,5.366667,1.700000
50.655209,8.349900,18.660297,-5.900000,5.766667,1.433333
50.729496,8.527795,16.898487,-6.133333,6.400000,1.800000
50.792324,8.803617,15.491003,-6.300000,6.766667,2.366667
50.849125,6.654779,13.954514,-6.233333,7.766667,2.166667
50.906025,4.666449,12.339432,-5.933333,7.933333,2.133333
50.969593,2.944908,10.705891,-5.633333,7.900000,2.100000
51.039482,2.080134,9.206126,-5.600000,8.333333,2.400000
51.125561,4.865851,8.451929,-6.033333,8.166667,2.700000
51.244942,4.548629,7.774034,-6.033333,8.366667,3.100000
51.385502,3.891086,7.099865,-5.900000,8.300000,3.100000
51.543411,4.714938,6.686418,-6.100000,8.500000,3.100000
51.707237,3.218446,6.084636,-5.933333,8.866667,2.933333
51.860825,2.611997,5.481952,-5.766667,8.633333,3.233333
51.996822,2.928500,5.038999,-5.700000,8.166667,2.433333
52.110840,4.822010,5.002260,-5.866667,7.600000,2.000000
52.213219,7.119364,5.371415,-6.000000,6.733333,2.066667
52.331261,8.380091,5.895790,-6.033333,6.166667,1.633333
52.496082,10.132317,6.634152,-5.966667,5.100000,1.900000
52.723812,11.603541,7.500544,-5.666667,3.600000,2.800000
53.017990,13.877824,8.612412,-5.466667,2.200000,5.000000
53.337997,10.738490,8.985046,-4.933333,1.866667,7.000000
53.671581,8.252302,8.860532,-5.000000,3.000000,7.600000
54.007000,6.091531,8.381843,-4.866667,3.466667,8.333333
54.338558,2.741335,7.403644,-4.566667,3.900000,8.966666
54.645454,1.093978,6.308833,-4.600000,4.866667,9.000000
54.915382,1.248669,5.431037,-4.733333,5.333333,9.000000
55.138939,3.936434,5.173034,-5.266667,5.933333,8.333333
55.315769,4.605094,5.075804,-5.533333,6.533333,7.933333
55.482395,1.818168,4.510633,-5.166667,6.766667,8.166667
55.633945,1.336130,3.959790,-5.200000,7.200000,8.200000
55.768047,1.038283,3.452799,-5.266667,7.666667,8.200000
55.898487,359.770020,65.432434,-5.266667,8.533334,8.200000
56.034885,0.512623,54.141365,-5.466667,8.866667,7.133333
56.164932,0.273275,44.772594,-5.333333,8.466666,8.066667
56.281143,358.744080,99.386414,-5.166667,8.833333,7.833333
56.396061,356.662720,144.138550,-4.866667,9.000000,7.333333
56.509277,358.973053,181.508270,-5.233333,8.966666,6.700000
56.635166,0.083644,149.952042,-5.433333,9.033334,6.166667
56.770206,0.419589,123.943268,-5.466667,8.933333,5.266667
56.907917,1.017333,102.562515,-5.600000,9.066667,5.133333
57.044636,0.907742,84.881699,-5.533333,8.866667,4.266667
57.190437,2.275964,70.514389,-5.666667,8.466666,3.733333
57.361290,4.208242,58.982479,-5.800000,7.733333,3.933333
57.550865,7.696076,50.063293,-6.233333,7.166667,3.766667
57.762745,9.042977,42.930012,-6.166667,6.233333,3.100000
57.994766,8.769133,36.990051,-6.033333,5.966667,3.366667
58.264862,10.639414,32.408951,-6.200000,5.533333,3.333333
58.570766,12.086742,28.876764,-6.400000,5.400000,3.000000
58.897861,11.107766,25.788876,-6.066667,4.933333,3.266667
59.231831,11.731330,23.346622,-6.000000,4.466667,3.666667
59.549778,14.174673,21.754038,-6.233333,4.033333,3.900000
59.845039,13.644962,20.346130,-6.133333,4.000000,3.733333
60.123100,12.899441,19.053289,-5.900000,3.700000,3.366667
60.398823,12.602703,17.933691,-5.866667,3.733333,3.800000
60.670372,15.632175,17.535755,-6.133333,3.200000,3.533333
60.931637,12.740919,16.704035,-5.700000,3.233333,3.633333
61.180370,15.340162,16.468992,-5.866667,2.666667,3.533333
61.415775,13.499574,15.954561,-5.633333,2.766667,3.433333
